Event_ID,Outcome,week_before_event,article_count,certainty_score_mean,certainty_score_sum,relevance_score_max,relevance_score_mean,relevance_score_min,relevance_score_std,rhetoric_score_max,rhetoric_score_mean,rhetoric_score_sum,sentiment_compound_max,sentiment_compound_mean,sentiment_compound_min,sentiment_compound_std
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-12,7,1.0,7.0,1.0,0.7142857142857143,0.0,0.4879500364742666,4.0,0.8571428571428571,6.0,0.8625,0.05577142857142857,-0.9698,0.8077726303737658
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-11,8,0.625,5.0,1.0,0.875,0.0,0.3535533905932738,0.0,0.0,0.0,0.9645,0.31238750000000004,-0.7202,0.5466178357800422
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-10,8,0.125,1.0,1.0,0.625,0.0,0.5175491695067657,3.0,0.875,7.0,0.8857,0.103125,-0.886,0.5797180909718103
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-9,6,-0.16666666666666666,-1.0,1.0,0.5,0.0,0.5477225575051661,7.0,1.8333333333333333,11.0,0.9382,-0.22441666666666668,-0.9612,0.834440508165002
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-8,10,0.4,4.0,2.0,0.9,0.0,0.7378647873726218,1.0,0.1,1.0,0.745,-0.19892,-0.7783,0.5615795358728015
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-7,6,0.5,3.0,1.0,0.6666666666666666,0.0,0.5163977794943223,4.0,1.0,6.0,0.2617,-0.03388333333333334,-0.4404,0.27143353821270255
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-6,2,-0.5,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4767,0.41365,0.3506,0.08916616510762364
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-5,3,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.9231,0.3902666666666667,-0.2111,0.5701973547231988
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-4,8,0.625,5.0,1.0,0.875,0.0,0.3535533905932738,5.0,1.0,8.0,0.9804,0.0873625,-0.9413,0.7017129570608932
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-3,11,0.5454545454545454,6.0,2.0,1.0909090909090908,0.0,0.5393598899705937,0.0,0.0,0.0,0.9338,0.27590909090909094,-0.7657,0.6475711998761918
